City Name,Timestamp,Temperature (C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Condition
Nagpur,2026-03-07 19:36:33,30.61,14,1009.0,3.98,clear sky
Nagpur,2026-03-07 19:36:33,30.61,14,1009.0,3.98,clear sky
Indore,2026-03-07 19:36:33,29.49,14,1011.0,1.47,clear sky
Indore,2026-03-07 19:36:33,29.49,14,1011.0,1.47,clear sky
Thane,2026-03-07 19:36:33,29.41,35,1009.0,3.08,clear sky
Thane,2026-03-07 19:36:33,29.41,35,1009.0,3.08,clear sky
Ahmedabad,2026-03-07 19:36:32,32.29,18,1010.0,3.64,clear sky
Ahmedabad,2026-03-07 19:36:32,32.29,18,1010.0,3.64,clear sky
Surat,2026-03-07 19:36:32,30.55,23,1010.0,4.2,clear sky
Surat,2026-03-07 19:36:32,30.55,23,1010.0,4.2,clear sky
Pune,2026-03-07 19:36:32,31.1,14,1010.0,3.31,clear sky
Pune,2026-03-07 19:36:32,31.1,14,1010.0,3.31,clear sky
Jaipur,2026-03-07 19:36:32,27.43,14,1010.0,3.31,clear sky
Jaipur,2026-03-07 19:36:32,27.43,14,1010.0,3.31,clear sky
Lucknow,2026-03-07 19:36:32,27.28,20,1010.0,0.71,clear sky
Lucknow,2026-03-07 19:36:32,27.28,20,1010.0,0.71,clear sky
Kanpur,2026-03-07 19:36:32,26.85,22,1010.0,3.24,clear sky
Kanpur,2026-03-07 19:36:32,26.85,22,1010.0,3.24,clear sky
New Delhi,2026-03-07 19:36:31,31.26,11,1009.0,0.89,clear sky
New Delhi,2026-03-07 19:36:31,31.26,11,1009.0,0.89,clear sky
Kolkata,2026-03-07 19:36:31,25.89,67,1011.0,5.87,scattered clouds
Kolkata,2026-03-07 19:36:31,25.89,67,1011.0,5.87,scattered clouds
Mumbai,2026-03-07 19:36:31,27.54,61,1009.0,6.53,clear sky
Mumbai,2026-03-07 19:36:31,27.54,61,1009.0,6.53,clear sky
Bengaluru,2026-03-07 19:36:31,28.11,19,1010.0,3.85,clear sky
Bengaluru,2026-03-07 19:36:31,28.11,19,1010.0,3.85,clear sky
Chennai,2026-03-07 19:36:31,26.36,75,1010.0,6.74,clear sky
Chennai,2026-03-07 19:36:31,26.36,75,1010.0,6.74,clear sky
Hyderabad,2026-03-07 19:36:31,29.92,17,1010.0,3.23,clear sky
Hyderabad,2026-03-07 19:36:31,29.92,17,1010.0,3.23,clear sky
Nagpur,2026-03-07 19:35:02,30.61,14,1009.0,3.98,clear sky
Nagpur,2026-03-07 19:35:02,30.61,14,1009.0,3.98,clear sky
Indore,2026-03-07 19:35:02,29.49,14,1011.0,1.47,clear sky
Indore,2026-03-07 19:35:02,29.49,14,1011.0,1.47,clear sky
Thane,2026-03-07 19:35:02,29.41,35,1009.0,3.08,clear sky
Thane,2026-03-07 19:35:02,29.41,35,1009.0,3.08,clear sky
Ahmedabad,2026-03-07 19:35:01,32.29,18,1010.0,3.64,clear sky
Ahmedabad,2026-03-07 19:35:01,32.29,18,1010.0,3.64,clear sky
Surat,2026-03-07 19:35:01,30.55,23,1010.0,4.2,clear sky
Surat,2026-03-07 19:35:01,30.55,23,1010.0,4.2,clear sky
Pune,2026-03-07 19:35:01,31.1,14,1010.0,3.31,clear sky
Pune,2026-03-07 19:35:01,31.1,14,1010.0,3.31,clear sky
Jaipur,2026-03-07 19:35:01,27.43,14,1010.0,3.31,clear sky
Jaipur,2026-03-07 19:35:01,27.43,14,1010.0,3.31,clear sky
Lucknow,2026-03-07 19:35:01,27.28,20,1010.0,0.71,clear sky
Lucknow,2026-03-07 19:35:01,27.28,20,1010.0,0.71,clear sky
Kanpur,2026-03-07 19:35:01,26.85,22,1010.0,3.24,clear sky
Kanpur,2026-03-07 19:35:01,26.85,22,1010.0,3.24,clear sky
New Delhi,2026-03-07 19:35:00,31.26,11,1009.0,0.89,clear sky
New Delhi,2026-03-07 19:35:00,31.26,11,1009.0,0.89,clear sky
Kolkata,2026-03-07 19:35:00,25.89,67,1011.0,5.87,scattered clouds
Kolkata,2026-03-07 19:35:00,25.89,67,1011.0,5.87,scattered clouds
Mumbai,2026-03-07 19:35:00,27.54,61,1009.0,6.53,clear sky
Mumbai,2026-03-07 19:35:00,27.54,61,1009.0,6.53,clear sky
Bengaluru,2026-03-07 19:35:00,28.11,19,1010.0,3.85,clear sky
Bengaluru,2026-03-07 19:35:00,28.11,19,1010.0,3.85,clear sky
Chennai,2026-03-07 19:35:00,26.36,75,1010.0,6.74,clear sky
Chennai,2026-03-07 19:35:00,26.36,75,1010.0,6.74,clear sky
Hyderabad,2026-03-07 19:35:00,29.92,17,1010.0,3.23,clear sky
Hyderabad,2026-03-07 19:35:00,29.92,17,1010.0,3.23,clear sky
Kanpur,2026-03-07 19:34:55,26.85,22,1010.0,3.24,clear sky
Nagpur,2026-03-07 19:34:55,30.61,14,1009.0,3.98,clear sky
Indore,2026-03-07 19:34:55,29.49,14,1011.0,1.47,clear sky
Thane,2026-03-07 19:34:55,29.41,35,1009.0,3.08,clear sky
Hyderabad,2026-03-07 19:34:54,29.92,17,1010.0,3.23,clear sky
Ahmedabad,2026-03-07 19:34:54,32.29,18,1010.0,3.64,clear sky
Surat,2026-03-07 19:34:54,30.55,23,1010.0,4.2,clear sky
Pune,2026-03-07 19:34:54,31.1,14,1010.0,3.31,clear sky
Jaipur,2026-03-07 19:34:54,27.43,14,1010.0,3.31,clear sky
Lucknow,2026-03-07 19:34:54,27.28,20,1010.0,0.71,clear sky
